id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,qva5vT,https://example.com/calm/valley/1,Demo link kernel,True,2025-03-26 16:48:24,2025-07-10 06:12:20
2,5,EEC8gs,https://relay.cloud/harbor/harvest/2,Demo link quartz,False,2025-03-19 07:21:58,2025-08-05 06:42:10
3,370,r12pvG,https://hackstack.io/cobalt/garden/3,Campaign page zenith,True,2025-10-05 06:30:29,2025-12-28 10:01:07
4,7,yWJ6bc,https://opswise.net/proud/canyon/4,Launch deck beacon,True,2025-02-23 18:05:21,2025-09-25 13:15:59
5,198,vAeDPd,https://example.com/vivid/uplink/5,Service guide signal,True,2025-06-25 15:06:31,2025-10-22 12:51:22
6,257,YdOW7p,https://seeded.app/rapid/delta/6,Quarterly brief signal,True,2025-02-17 23:04:07,2026-01-01 03:52:43
7,99,aVSur5,https://opswise.net/cobalt/field/7,Ops review harvest,True,2025-12-12 13:52:17,2026-01-16 19:14:31
8,70,RUyKuT,https://acme.dev/calm/lagoon/8,Incident notes trail,True,2025-07-11 14:09:53,2025-11-07 22:42:51
9,318,qnRidi,https://opswise.net/gold/kernel/9,Status board lagoon,False,2025-05-08 11:26:37,2025-07-02 19:47:09
10,150,SpEw66,https://seeded.app/silver/anchor/10,Ops review harvest,True,2025-11-14 05:57:49,2025-12-07 19:25:35
11,61,oiIgFg,https://opswise.net/calm/harvest/11,Service guide anchor,True,2025-03-22 16:23:02,2025-07-05 08:02:36
12,342,aYhRQP,https://relay.cloud/brisk/field/12,Campaign page harvest,True,2025-05-05 07:39:09,2025-12-22 21:52:23
13,268,XNGmsw,https://hackstack.io/proud/orbit/13,Campaign page yard,True,2025-08-05 10:57:20,2025-08-28 13:34:19
14,236,bWHnuc,https://seeded.app/opal/meadow/14,Demo link river,False,2025-04-21 21:39:15,2025-11-25 11:07:46
15,230,OavmSS,https://relay.cloud/quiet/river/15,Alert feed zenith,True,2025-07-03 11:31:11,2026-02-10 09:03:38
16,284,OrSbrc,https://example.com/mellow/beacon/16,Demo link uplink,True,2025-08-19 15:12:28,2025-12-31 01:05:54
17,95,5UvgoB,https://hackstack.io/amber/garden/17,Launch deck signal,True,2025-12-15 22:41:21,2026-02-02 08:18:44
18,388,fhGnYo,https://opswise.net/young/zenith/18,Quarterly brief field,True,2025-11-15 00:36:31,2025-12-02 15:08:03
19,87,S5zaMM,https://hackstack.io/ivory/zenith/19,Incident notes journey,True,2025-12-02 09:39:13,2026-01-04 02:18:40
20,307,Hnk7cJ,https://relay.cloud/mellow/signal/20,Service guide valley,True,2026-01-11 16:15:42,2026-02-10 16:57:12
21,186,JX39ic,https://acme.dev/gold/river/21,Status board meadow,True,2026-01-19 22:58:55,2026-02-19 16:43:42
22,243,z9NVYz,https://hackstack.io/vivid/island/22,Launch deck lagoon,True,2025-04-29 05:37:28,2025-12-02 15:44:35
